wl,n,k
1.76E-08,0.8888,0.0703
1.77E-08,0.8872,0.071
1.78E-08,0.8855,0.0717
1.80E-08,0.8839,0.0724
1.81E-08,0.8817,0.0732
1.82E-08,0.8795,0.0739
1.84E-08,0.8773,0.0747
1.85E-08,0.875,0.0754
1.86E-08,0.8728,0.0762
1.88E-08,0.87,0.077
1.89E-08,0.8672,0.0778
1.91E-08,0.8645,0.0792
1.92E-08,0.8616,0.0801
1.94E-08,0.8583,0.0816
1.95E-08,0.8549,0.083
1.97E-08,0.851,0.0846
1.98E-08,0.8476,0.0861
2.00E-08,0.8431,0.0884
2.02E-08,0.8392,0.0906
2.03E-08,0.8346,0.0929
2.05E-08,0.8302,0.0958
2.07E-08,0.8251,0.0988
2.08E-08,0.82,0.1018
2.10E-08,0.8144,0.1062
2.12E-08,0.8089,0.1107
2.14E-08,0.8027,0.1152
2.16E-08,0.7967,0.1211
2.18E-08,0.7902,0.1278
2.19E-08,0.7838,0.1352
2.21E-08,0.7777,0.144
2.23E-08,0.7711,0.1537
2.25E-08,0.7649,0.1647
2.27E-08,0.7593,0.1778
2.30E-08,0.7549,0.1921
2.32E-08,0.7519,0.2081
2.34E-08,0.7504,0.2259
2.36E-08,0.7518,0.2454
2.38E-08,0.7559,0.2653
2.41E-08,0.7641,0.286
2.43E-08,0.7768,0.3057
2.46E-08,0.7936,0.3238
2.48E-08,0.8143,0.3377
2.50E-08,0.8382,0.3472
2.53E-08,0.863,0.3505
2.56E-08,0.8876,0.3476
2.58E-08,0.9093,0.3387
2.61E-08,0.9269,0.3258
2.64E-08,0.939,0.3094
2.67E-08,0.9456,0.2919
2.70E-08,0.9466,0.2741
2.72E-08,0.9426,0.2578
2.76E-08,0.9341,0.2441
2.79E-08,0.9216,0.2333
2.82E-08,0.905,0.226
2.85E-08,0.8849,0.2238
2.88E-08,0.8606,0.2272
2.92E-08,0.8308,0.2413
2.95E-08,0.7974,0.2753
2.99E-08,0.7825,0.3553
3.02E-08,0.8851,0.4067
3.06E-08,0.8906,0.3481
3.10E-08,0.8626,0.3756
3.14E-08,0.8786,0.4348
3.18E-08,0.946,0.4826
3.22E-08,1.0426,0.4796
3.26E-08,1.12,0.4201
3.31E-08,1.1497,0.3388
3.35E-08,1.1425,0.2687
3.40E-08,1.1187,0.2181
3.44E-08,1.0893,0.1831
3.49E-08,1.0595,0.1595
3.54E-08,1.0308,0.1431
3.59E-08,1.0042,0.1319
3.65E-08,0.9785,0.1247
3.70E-08,0.9541,0.12
3.76E-08,0.9309,0.1166
3.81E-08,0.908,0.1156
3.87E-08,0.8851,0.1158
3.94E-08,0.8624,0.1171
4.00E-08,0.8392,0.1197
4.07E-08,0.8156,0.1232
4.13E-08,0.7915,0.1282
4.20E-08,0.7668,0.1343
4.28E-08,0.7411,0.1424
4.35E-08,0.7135,0.1521
4.43E-08,0.6847,0.1636
4.51E-08,0.6549,0.1786
4.59E-08,0.6224,0.196
4.68E-08,0.5888,0.2183
4.77E-08,0.5543,0.2454
4.86E-08,0.5188,0.2795
4.96E-08,0.4835,0.3206
5.06E-08,0.4514,0.3711
5.17E-08,0.4237,0.4342
5.28E-08,0.4085,0.5166
5.39E-08,0.469,0.6205
5.51E-08,0.4956,0.5519
5.64E-08,0.4407,0.6002
5.77E-08,0.4274,0.6668
5.90E-08,0.4292,0.7316
6.05E-08,0.4404,0.7937
6.20E-08,0.4583,0.8532
6.36E-08,0.4818,0.91
6.53E-08,0.5114,0.9631
6.70E-08,0.545,1.011
6.89E-08,0.5821,1.053
7.08E-08,0.6207,1.0883
7.29E-08,0.6572,1.1162
7.51E-08,0.6886,1.1385
7.75E-08,0.7131,1.1583
8.00E-08,0.7289,1.1799
8.27E-08,0.7387,1.2082
8.55E-08,0.7458,1.2463
8.86E-08,0.7562,1.2946
9.18E-08,0.7754,1.351
9.54E-08,0.8063,1.4107
9.92E-08,0.8504,1.467
1.03E-07,0.9046,1.5117
1.08E-07,0.9614,1.5389
1.13E-07,1.0076,1.5457
1.18E-07,1.0289,1.539
1.24E-07,1.0131,1.5354
1.31E-07,0.9608,1.5586
1.38E-07,0.8875,1.6315
1.46E-07,0.823,1.7636
1.55E-07,0.8007,1.942
1.65E-07,0.8355,2.1227
1.77E-07,0.8786,2.2554
1.91E-07,0.8254,2.4032
2.07E-07,0.7426,2.7449
2.25E-07,0.9161,3.3025
2.48E-07,1.6094,3.3279
2.61E-07,1.4049,3.077
2.76E-07,1.079,3.3609
2.92E-07,1.1181,3.9383
3.10E-07,1.8008,4.3314
3.31E-07,2.0193,3.578
3.54E-07,1.327,3.806
3.81E-07,1.2611,4.516
4.13E-07,1.6556,5.1025
4.51E-07,2.2457,5.1471
4.96E-07,2.0777,4.782
5.51E-07,1.3296,5.2379
6.20E-07,0.933,6.3712
7.08E-07,0.8969,7.8089
8.27E-07,1.1957,9.6069
9.92E-07,2.1933,11.8617
1.24E-06,4.3505,13.142
1.65E-06,2.4636,14.8056
2.48E-06,1.2049,24.3542
0.0000025,1.4507921,10.710594
0.00000267,1.6746349,11.554665
0.00000286,1.8748013,12.375593
0.00000308,1.91692,13.261664
0.00000333,1.8505739,14.40046
0.00000364,1.8774806,15.887186
0.000004,1.9949739,17.69477
0.00000444,2.2388765,19.89851
0.000005,2.6672954,22.612178
0.00000571,3.3712766,26.005432
0.00000667,4.4961625,30.343034
0.000008,6.2868052,36.072044
0.00001,9.1935519,44.019189
0.0000111,10.843912,48.146015
0.0000125,12.935818,53.112521
0.0000143,15.634532,59.208636
0.0000167,19.231714,66.923752
0.00002,24.256111,77.087223
0.0000222,27.599188,83.517367
0.000025,31.77255,91.217414
0.0000286,37.127733,100.62038
0.0000333,44.209069,112.34062
0.00004,54.191208,128.08146
0.0000444,61.731428,136.67195
0.00005,68.665703,146.58093
0.0000571,76.505227,159.83902
0.0000667,87.148396,177.92054
0.00008,103.53408,202.21197
0.0001,130.219,234.03939
0.000125,163.02849,265.86909
0.000154,196.84283,294.94073
0.0002,242.14161,332.81796
